Block,X,Y,Z
Plane,3,0,3
blue2x4(Clone),6.3,3.548112,5.2
twoCurveGreen(Clone),4.2,3.548112,7.3
oneCurveRed(Clone),7.3,2.129056,6.3
blue2x4(Clone),6.3,0.7100001,7.3
orang2x4(Clone),4.2,0.7100001,5.2
blue2x4(Clone),0.9999973,3.549503,6.30001
oneCurveGreen(Clone),2.1,2.129503,5.199999
green2x4(Clone),2.1,2.129056,7.3
yellow2x4(Clone),2.1,0.7100001,7.3
yellow2x2(Clone),1.000007,0.7100003,5.199999
twoCurveYellow(Clone),7.3,0.7100003,2.099996
green2x4(Clone),7.3,2.129845,2.099996
oneCurveYellow(Clone),4.2,0.7100001,3.1
yellow2x2(Clone),5.2,2.128584,3.1
orang2x2(Clone),5.2,3.547324,3.1
green2x2(Clone),5.2,0.7100003,0.9999983
orang2x2(Clone),3.1,2.129845,3.1
orang2x2(Clone),1.000004,3.548113,0.9999959
green2x2(Clone),1,0.7100001,3.1
twoCurveRed(Clone),2.100005,2.129056,0.9999956
blue2x2(Clone),3.100005,0.7100003,0.9999954
