Block,X,Y,Z
Plane,3,0,3
oneCurveRed(Clone),6.3,0.7100001,5.2
oneCurveBlue(Clone),4.2,2.129544,5.2
twoCurveOrange(Clone),6.3,0.7100001,7.3
blue2x2(Clone),5.2,3.548177,5.2
orang2x4(Clone),2.1,2.129845,7.3
green2x2(Clone),3.1,3.548888,5.2
green2x2(Clone),1,0.7100001,5.2
twoCurveRed(Clone),2.1,0.7100001,7.3
green2x2(Clone),3.1,0.7100001,5.2
blue2x2(Clone),5.199989,3.548113,3.100002
blue2x4(Clone),4.2,3.548501,0.9999998
red2x2(Clone),5.2,2.129197,0.9999999
oneCurveOrange(Clone),6.299988,2.129056,3.100002
green2x2(Clone),5.2,0.7100001,1
twoCurveBlue(Clone),7.3,0.7100003,2.099993
orang2x2(Clone),1.000001,3.548113,3.099994
green2x2(Clone),1,3.548609,0.9999982
yellow2x4(Clone),2.1,2.12939,0.9999972
blue2x2(Clone),3.1,0.7100001,1
blue2x4(Clone),1.000007,0.7100003,2.099993
blue2x4(Clone),2.1,2.129056,3.099994
