Block,X,Y,Z
Plane,3,0,3
oneCurveGreen(Clone),5.2,0.7100003,6.299986
orang2x4(Clone),6.3,2.129056,5.199988
twoCurveOrange(Clone),5.2,3.548113,6.3
oneCurveYellow(Clone),6.3,0.7100001,3.1
twoCurveBlue(Clone),4.2,2.129702,3.1
yellow2x4(Clone),4.2,3.549403,3.1
oneCurveRed(Clone),6.3,0.7100001,1
twoCurveRed(Clone),2.1,0.7100001,5.2
red2x4(Clone),1.000005,2.128592,6.3
oneCurveGreen(Clone),1.000005,3.547342,6.3
red2x2(Clone),3.1,2.129845,5.2
orang2x2(Clone),1.000005,2.129899,3.1
red2x4(Clone),2.100005,2.129056,0.9999958
yellow2x2(Clone),3.100005,3.548113,0.9999973
green2x2(Clone),1.000004,0.7100003,3.1
orang2x2(Clone),3.1,0.7100001,3.1
red2x2(Clone),1.000007,0.7100003,0.9999954
