Block,X,Y,Z
Plane,3,0,3
oneCurveYellow(Clone),6.3,0.7100001,5.2
green2x4(Clone),4.20001,2.128957,5.2
oneCurveBlue(Clone),4.200012,2.129056,7.3
twoCurveYellow(Clone),6.30001,3.548112,7.3
twoCurveRed(Clone),3.1,0.7100003,6.299999
orang2x2(Clone),1,0.7100001,5.2
red2x2(Clone),3.100004,3.548857,5.2
oneCurveRed(Clone),7.3,3.547238,2.1
red2x2(Clone),5.2,3.548113,3.1
red2x2(Clone),5.2,3.546474,1
red2x4(Clone),6.3,2.128237,0.9999999
twoCurveBlue(Clone),6.3,0.7100001,1
orang2x2(Clone),5.2,2.129057,3.1
green2x2(Clone),5.2,0.7100003,3.1
blue2x2(Clone),3.1,3.548113,3.1
red2x2(Clone),3.1,2.129844,1
red2x2(Clone),1.000003,3.54872,3.1
twoCurveGreen(Clone),1.000004,2.129602,2.1
orang2x2(Clone),3.100001,2.129056,3.1
orang2x2(Clone),3.1,0.7100001,3.1
red2x4(Clone),2.1,0.7100001,1
green2x2(Clone),1.000007,0.7100003,3.1
