Block,X,Y,Z
Plane,3,0,3
yellow2x4(Clone),4.2,0.7100001,7.3
oneCurveBlue(Clone),4.2,2.129056,7.3
oneCurveBlue(Clone),4.2,2.129056,5.199999
oneCurveGreen(Clone),4.2,3.548112,7.3
orang2x2(Clone),1,0.7100001,5.2
orang2x4(Clone),1.000003,2.129899,6.300002
orang2x2(Clone),3.100005,3.548113,5.2
red2x2(Clone),3.100001,0.7100003,5.199999
red2x2(Clone),5.2,2.129057,3.1
twoCurveGreen(Clone),6.3,3.548112,1
oneCurveOrange(Clone),6.3,3.548113,3.1
oneCurveRed(Clone),6.3,2.129056,1
twoCurveBlue(Clone),6.3,0.7100001,1
yellow2x2(Clone),5.2,0.7100003,3.1
twoCurveRed(Clone),2.1,3.54814,3.1
red2x2(Clone),1,2.129845,1
orang2x2(Clone),3.100011,3.547329,0.9999849
orang2x2(Clone),1,2.12907,3.099999
green2x2(Clone),1.000011,0.7100003,3.1
twoCurveYellow(Clone),2.1,0.7100001,1
green2x4(Clone),3.1,2.128586,2.1
