Block,X,Y,Z
Plane,3,0,3
orang2x2(Clone),5.2,3.547461,5.2
green2x2(Clone),5.2,3.549137,3.1
yellow2x4(Clone),4.2,2.129294,3.1
oneCurveRed(Clone),4.2,2.128731,5.2
oneCurveOrange(Clone),4.2,0.7100001,5.2
blue2x2(Clone),5.2,0.7100003,3.1
green2x2(Clone),5.2,3.548113,1
red2x2(Clone),5.2,0.7100003,0.9999952
yellow2x2(Clone),5.199999,2.129056,0.9999999
twoCurveBlue(Clone),2.1,3.548557,5.200011
red2x4(Clone),1,2.129035,4.2
blue2x2(Clone),1,0.7100001,5.2
oneCurveYellow(Clone),3.1,3.548589,2.1
yellow2x2(Clone),1.000002,3.548027,1
red2x2(Clone),0.9999981,3.54891,3.099994
green2x4(Clone),2.1,0.7100001,1
twoCurveOrange(Clone),2.1,0.7100001,3.1
oneCurveYellow(Clone),2.1,2.12902,1
