Block,X,Y,Z
Plane,3,0,3
twoCurveOrange(Clone),7.3,0.7100003,6.299999
oneCurveBlue(Clone),7.3,2.129319,6.3
red2x4(Clone),6.3,3.548829,7.3
blue2x2(Clone),5.2,0.7100003,5.199999
oneCurveYellow(Clone),4.2,2.129415,7.3
red2x2(Clone),5.2,2.129845,5.199999
orang2x2(Clone),3.1,3.546942,5.2
green2x4(Clone),2.1,3.549266,7.3
yellow2x2(Clone),3.1,2.128226,5.2
yellow2x4(Clone),2.1,0.7100001,7.3
oneCurveGreen(Clone),1.000003,2.12934,6.3
blue2x4(Clone),2.1,0.7100001,5.2
yellow2x4(Clone),6.3,2.129538,3.1
oneCurveRed(Clone),6.3,0.7100001,1
blue2x4(Clone),4.2,3.549252,3.1
red2x2(Clone),5.2,0.7100003,3.1
green2x2(Clone),3.1,3.548113,1.000003
green2x2(Clone),0.9999986,3.546778,0.9999828
blue2x2(Clone),3.1,2.129252,3.1
yellow2x2(Clone),3.100001,2.129056,1.000003
blue2x4(Clone),0.9999939,2.128103,2.09999
green2x2(Clone),3.1,0.7100001,1
green2x4(Clone),2.1,0.7100001,3.1
