Block,X,Y,Z
Plane,3,0,3
red2x2(Clone),5.2,0.7100001,5.2
green2x2(Clone),5.2,2.129056,5.2
green2x4(Clone),4.2,2.129442,7.3
yellow2x4(Clone),4.2,3.548112,5.2
orang2x2(Clone),3.1,0.7100003,5.199999
twoCurveGreen(Clone),0.999997,2.129845,6.299991
oneCurveBlue(Clone),2.1,0.7100001,7.3
blue2x2(Clone),5.2,2.129056,3.099999
red2x2(Clone),5.2,3.548113,3.1
orang2x2(Clone),5.2,0.7100001,3.1
oneCurveYellow(Clone),6.3,0.7100001,1
orang2x2(Clone),5.199999,2.129899,1.000002
yellow2x4(Clone),1.000003,3.548883,2.1
yellow2x2(Clone),3.099999,3.54662,3.099998
orang2x2(Clone),3.1,3.547814,0.9999985
twoCurveGreen(Clone),2.1,0.7100001,3.1
orang2x2(Clone),0.9999999,2.128883,3.1
yellow2x2(Clone),3.1,2.127932,3.1
twoCurveBlue(Clone),2.1,0.7100001,1
blue2x4(Clone),2.1,2.128907,0.9999998
