Block,X,Y,Z
Plane,3,0,3
twoCurveRed(Clone),5.2,0.7100003,6.299999
oneCurveYellow(Clone),6.300012,2.129845,7.3
yellow2x2(Clone),5.2,2.128585,5.2
twoCurveYellow(Clone),6.3,3.547325,5.2
green2x4(Clone),7.3,0.7100003,2.099991
oneCurveRed(Clone),7.3,2.129845,2.099995
green2x2(Clone),5.199999,2.128592,3.1
green2x4(Clone),4.2,0.7100001,3.1
orang2x4(Clone),4.200002,2.129845,0.9999979
yellow2x2(Clone),5.2,3.547342,3.1
oneCurveBlue(Clone),3.100001,0.7100003,6.299989
twoCurveOrange(Clone),1.000011,0.7100003,6.299999
green2x4(Clone),2.100008,2.129996,7.3
green2x4(Clone),1.000004,3.549166,4.199999
red2x2(Clone),1.000004,2.129481,5.199998
red2x2(Clone),3.1,2.129845,3.1
red2x2(Clone),0.9999982,2.129166,3.099989
yellow2x2(Clone),3.100002,0.7100003,0.9999973
oneCurveYellow(Clone),1.000011,0.7100003,2.099989
