Block,X,Y,Z
Plane,3,0,3
oneCurveBlue(Clone),5.2,0.7100003,6.299986
twoCurveOrange(Clone),6.3,3.548524,5.2
orang2x2(Clone),3.1,3.549107,5.2
twoCurveGreen(Clone),2.1,3.548112,7.3
oneCurveBlue(Clone),2.1,2.129056,7.3
twoCurveYellow(Clone),2.1,0.7100001,7.3
oneCurveYellow(Clone),4.199989,2.129262,5.2
orang2x2(Clone),3.1,0.7100001,5.2
orang2x2(Clone),5.2,2.129845,0.9999982
blue2x2(Clone),5.199999,3.548112,3.1
oneCurveRed(Clone),6.3,2.129056,3.1
green2x2(Clone),5.2,0.7100003,0.9999973
oneCurveYellow(Clone),6.3,0.7100001,3.1
yellow2x2(Clone),3.1,2.129845,1.000001
red2x2(Clone),0.9999976,3.547342,1
green2x2(Clone),1.000003,0.7100003,3.1
oneCurveRed(Clone),2.1,0.7100001,1
blue2x2(Clone),0.9999973,2.128592,1
