Block,X,Y,Z
Plane,3,0,3
twoCurveRed(Clone),5.2,0.7100003,4.199986
twoCurveRed(Clone),6.3,0.7100001,7.3
blue2x2(Clone),5.199999,2.128337,5.200011
oneCurveYellow(Clone),6.3,3.547047,5.200007
blue2x4(Clone),1.000003,2.128237,6.300012
twoCurveRed(Clone),2.100006,3.547238,5.2
yellow2x4(Clone),2.100006,3.546474,7.300017
green2x2(Clone),1,0.7100001,5.2
twoCurveRed(Clone),4.2,2.129434,0.9999973
blue2x2(Clone),5.2,0.7100001,1
twoCurveOrange(Clone),4.199998,2.129627,3.099987
oneCurveGreen(Clone),6.3,3.548868,0.9999954
oneCurveYellow(Clone),3.1,3.549417,2.099997
green2x2(Clone),1,2.129898,1
red2x2(Clone),3.1,0.7100001,1
red2x2(Clone),1.000004,0.7100003,3.1
yellow2x2(Clone),1,0.7100001,1
