Block,X,Y,Z
Plane,3,0,3
blue2x4(Clone),4.2,0.7100001,7.3
twoCurveYellow(Clone),6.3,2.129845,7.3
red2x4(Clone),6.300012,2.128584,5.2
twoCurveGreen(Clone),5.2,0.7100003,4.199986
blue2x4(Clone),7.300001,3.548585,4.199998
orang2x4(Clone),4.2,2.129056,1
oneCurveGreen(Clone),6.3,2.128584,3.099983
oneCurveOrange(Clone),4.2,0.7100001,1
orang2x2(Clone),1.000002,2.129845,3.099997
green2x2(Clone),1,3.549107,5.2
red2x2(Clone),3.1,3.548524,5.2
red2x2(Clone),3.1,0.7100001,3.1
orang2x2(Clone),1,0.7100001,5.2
oneCurveBlue(Clone),2.1,2.129262,5.2
green2x2(Clone),3.1,0.7100001,5.2
yellow2x4(Clone),3.1,3.548112,2.1
orang2x4(Clone),1.000004,0.7100003,2.099996
orang2x2(Clone),1,2.129448,0.9999908
