Block,X,Y,Z
Plane,3,0,3
blue2x2(Clone),5.199999,3.546474,5.2
oneCurveOrange(Clone),4.2,2.129845,7.3
yellow2x4(Clone),4.2,2.128237,5.2
oneCurveRed(Clone),6.3,0.7100001,5.2
oneCurveOrange(Clone),4.2,0.7100001,7.3
yellow2x4(Clone),1.000004,0.7100003,6.299999
yellow2x2(Clone),1.000003,2.129845,5.2
yellow2x2(Clone),3.1,3.547238,5.2
oneCurveYellow(Clone),6.3,2.129056,3.1
blue2x4(Clone),6.3,3.548113,3.1
orang2x2(Clone),5.2,3.547342,1
green2x2(Clone),5.2,2.128592,1
oneCurveYellow(Clone),4.2,0.7100001,1
green2x2(Clone),5.2,0.7100003,3.1
green2x2(Clone),3.1,2.129845,1
blue2x2(Clone),3.1,0.7100001,3.1
green2x2(Clone),3.1,2.129898,3.1
twoCurveGreen(Clone),1.000011,0.7100003,2.099989
green2x2(Clone),1.000003,2.129845,0.9999903
blue2x2(Clone),1.000005,2.128593,3.09999
red2x2(Clone),1.000005,3.547343,3.09999
